,month,Amount,,% diff.
1,1/1/2011,15191.96,10632.14644,-30%
2,1/2/2011,5132.06,1297.204597,-75%
3,1/3/2011,5550.95,4279.38678,-23%
4,1/4/2011,5078.59,1329.002454,-74%
5,1/5/2011,11172.17,9539.097156,-15%
6,1/6/2011,4624.76,1790.050461,-61%
7,1/7/2011,8483.46,6225.053997,-27%
8,1/8/2011,5589.72,2262.61696,-60%
9,1/9/2011,6892.56,7261.870842,5%
10,1/10/2011,4756.05,2465.354816,-48%
11,1/11/2011,14119.8,11422.1281,-19%
12,1/12/2011,2223.46,3109.264226,40%
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
