"","month","Amount"
"1",2009-12-01,17247.7
"2",2010-01-01,14643.79
"3",2010-02-01,7975.17
"4",2010-03-01,14151.8
"5",2010-04-01,9990.96
"6",2010-05-01,11934.89
"7",2010-06-01,11741.62
"8",2010-07-01,10547.74
"9",2010-08-01,11826.78
"10",2010-09-01,11733.14
"11",2010-10-01,11790.97
"12",2010-11-01,17199.75
"13",2010-12-01,14120.17
"14",2011-01-01,15191.96
"15",2011-02-01,5132.06
"16",2011-03-01,5550.95
"17",2011-04-01,5078.59
"18",2011-05-01,11172.17
"19",2011-06-01,4624.76
"20",2011-07-01,8483.46
"21",2011-08-01,5589.72
"22",2011-09-01,6892.56
"23",2011-10-01,4756.05
"24",2011-11-01,14119.8
"25",2011-12-01,2223.46
