"","month","Amount"
"1",2009-12-01,18574.58
"2",2010-01-01,11340.51
"3",2010-02-01,6443.5
"4",2010-03-01,9993.76
"5",2010-04-01,4786.15
"6",2010-05-01,5412.17
"7",2010-06-01,4930.22
"8",2010-07-01,6651.93
"9",2010-08-01,6667.87
"10",2010-09-01,6436.58
"11",2010-10-01,7071.43
"12",2010-11-01,15289.92
"13",2010-12-01,37474.56
"14",2011-01-01,13918.53
"15",2011-02-01,10060.57
"16",2011-03-01,11829.71
"17",2011-04-01,7535.38
"18",2011-05-01,10229.3
"19",2011-06-01,11848.66
"20",2011-07-01,12841
"21",2011-08-01,13400.52
"22",2011-09-01,15177.4
"23",2011-10-01,17955.13
"24",2011-11-01,36905.4
"25",2011-12-01,19872.69
